kappa,q,val_cov,val_width,test_cov,test_width
0.0,1.7199926853179932,0.8998447204968945,34.403446197509766,0.9083790133124511,34.403446197509766
0.1,1.7199926853179932,0.8998447204968945,34.40476989746094,0.9083790133124511,34.404964447021484
0.3,1.7199926853179932,0.8998447204968945,34.41527557373047,0.9083790133124511,34.41701126098633
0.5,1.7199926853179932,0.8998447204968945,34.436058044433594,0.9083790133124511,34.440673828125
1.0,1.7199926853179932,0.8998447204968945,34.53001022338867,0.9083790133124511,34.54624938964844
1.5,1.7154108524322507,0.8998447204968945,34.584754943847656,0.9075959279561472,34.61723709106445
2.0,1.7154108524322507,0.8998447204968945,34.776268005371094,0.9075959279561472,34.82879638671875
2.5,1.7154108524322507,0.8998447204968945,35.00552749633789,0.9075959279561472,35.08130645751953
3.0,1.7154108524322507,0.8998447204968945,35.26681900024414,0.9075959279561472,35.36858367919922
3.5,1.7154108524322507,0.8998447204968945,35.5555534362793,0.9075959279561472,35.685638427734375
4.0,1.7144708275794982,0.8998447204968945,35.848350524902344,0.9075959279561472,36.00869369506836
5.0,1.707125699520111,0.8998447204968945,36.375946044921875,0.9068128425998434,36.600955963134766
6.0,1.6983841776847832,0.8998447204968945,36.93146896362305,0.9083790133124511,37.22562789916992
